,event,trial,time,PID,version,phase
0,fullscreenenter,0,319834,cz2n8,V1,full_screen
1,fullscreenexit,1017,2164108,cz2n8,V1,
2,blur,0,0,hua4B,V1,full_screen
3,focus,0,0,hua4B,V1,full_screen
4,blur,0,0,hua4B,V1,full_screen
5,focus,0,0,hua4B,V1,full_screen
6,blur,0,0,hua4B,V1,full_screen
7,focus,0,0,hua4B,V1,full_screen
8,blur,0,0,hua4B,V1,full_screen
9,focus,0,0,hua4B,V1,full_screen
10,fullscreenenter,0,1529,hua4B,V1,full_screen
11,focus,0,0,ZbRrd,V1,full_screen
12,fullscreenexit,0,9178,ZbRrd,V1,full_screen
13,blur,433,903103,ZbRrd,V1,reward_learning
14,focus,433,903823,ZbRrd,V1,reward_learning
15,blur,916,1582198,ZbRrd,V1,memory_test
16,focus,916,1693594,ZbRrd,V1,memory_test
17,fullscreenenter,0,4171,KgZie,V1,full_screen
18,fullscreenenter,0,4860,wws6x,V1,full_screen
19,fullscreenexit,1,5912,wws6x,V1,rating
20,blur,64,136552,wws6x,V1,deliberation
21,focus,64,140336,wws6x,V1,deliberation
22,blur,65,163194,wws6x,V1,deliberation
23,focus,65,167768,wws6x,V1,deliberation
24,blur,71,197312,wws6x,V1,deliberation
25,focus,71,212900,wws6x,V1,deliberation
26,blur,75,218875,wws6x,V1,deliberation
27,focus,75,220946,wws6x,V1,deliberation
28,blur,91,237270,wws6x,V1,deliberation
29,focus,91,239534,wws6x,V1,deliberation
30,blur,95,245535,wws6x,V1,deliberation
31,focus,95,247349,wws6x,V1,deliberation
32,blur,99,252221,wws6x,V1,deliberation
33,focus,99,253758,wws6x,V1,deliberation
34,blur,191,370717,wws6x,V1,interference
35,focus,191,378884,wws6x,V1,interference
36,blur,198,391534,wws6x,V1,interference
37,focus,199,397994,wws6x,V1,interference
38,blur,256,457423,wws6x,V1,reward_learning
39,focus,256,459789,wws6x,V1,reward_learning
40,blur,256,482417,wws6x,V1,reward_learning
41,focus,256,487006,wws6x,V1,reward_learning
42,blur,478,772337,wws6x,V1,final_decisions
43,focus,478,774826,wws6x,V1,final_decisions
44,blur,807,1063987,wws6x,V1,final_decisions
45,focus,807,1085146,wws6x,V1,final_decisions
46,blur,1034,1366869,wws6x,V1,debreif_intro
47,focus,1034,1370981,wws6x,V1,debreif_intro
48,blur,1034,1374061,wws6x,V1,debreif_intro
49,focus,1034,1375452,wws6x,V1,debreif_intro
50,focus,0,0,Ky9p8,V1,full_screen
51,blur,0,0,Ky9p8,V1,full_screen
52,focus,0,0,Ky9p8,V1,full_screen
53,blur,0,16026,Ky9p8,V1,full_screen
54,focus,0,19443,Ky9p8,V1,full_screen
55,fullscreenenter,1,29587,Ky9p8,V1,rating
56,fullscreenenter,0,17652,vvHfd,V1,full_screen
57,blur,276,2384537,vvHfd,V1,reward_learning
58,focus,278,2440461,vvHfd,V1,reward_learning
59,blur,284,2459796,vvHfd,V1,reward_learning
60,focus,284,2462240,vvHfd,V1,reward_learning
61,fullscreenexit,1018,3517879,vvHfd,V1,debreif_intro
62,blur,1018,3524113,vvHfd,V1,debreif_intro
63,focus,1018,3532117,vvHfd,V1,debreif_intro
64,fullscreenenter,0,6264,4llS3,V1,full_screen
65,blur,0,4491,4xy5j,V1,full_screen
66,focus,0,9378,4xy5j,V1,full_screen
67,fullscreenenter,0,12571,4xy5j,V1,full_screen
68,fullscreenenter,0,10935,fy1KM,V1,full_screen
69,fullscreenexit,1,12854,fy1KM,V1,rating
70,blur,67,253652,fy1KM,V1,deliberation
71,focus,67,257002,fy1KM,V1,deliberation
72,blur,67,258064,fy1KM,V1,deliberation
73,focus,67,295791,fy1KM,V1,deliberation
74,blur,80,350291,fy1KM,V1,deliberation
75,focus,80,352324,fy1KM,V1,deliberation
76,blur,97,410798,fy1KM,V1,deliberation
77,focus,98,413961,fy1KM,V1,deliberation
78,blur,193,560797,fy1KM,V1,interference
79,focus,193,602827,fy1KM,V1,interference
80,blur,1040,1624840,fy1KM,V1,debreif_intro
81,focus,1040,1627921,fy1KM,V1,debreif_intro
82,blur,1041,1633372,fy1KM,V1,
83,blur,0,4845,Dq9Pw,V1,full_screen
84,focus,0,13466,Dq9Pw,V1,full_screen
85,fullscreenenter,0,18341,Dq9Pw,V1,full_screen
86,fullscreenexit,1041,3865804,Dq9Pw,V1,debreif_intro
87,blur,1041,3883361,Dq9Pw,V1,debreif_intro
88,focus,1041,3887767,Dq9Pw,V1,debreif_intro
89,fullscreenenter,0,2733,Ze2Oa,V1,full_screen
90,blur,0,11131,GlkbX,V1,full_screen
91,focus,0,11262,GlkbX,V1,full_screen
92,blur,0,11282,GlkbX,V1,full_screen
93,focus,0,21123,GlkbX,V1,full_screen
94,fullscreenenter,0,21292,GlkbX,V1,full_screen
95,blur,1033,1739067,GlkbX,V1,debreif_intro
96,focus,1033,1754449,GlkbX,V1,debreif_intro
97,fullscreenenter,0,12868,eMyXx,V1,full_screen
98,focus,0,0,35vSZ,V1,full_screen
99,fullscreenexit,0,8756,35vSZ,V1,full_screen
100,fullscreenexit,1014,2370571,35vSZ,V1,debreif_intro
101,blur,1014,2371748,35vSZ,V1,debreif_intro
102,focus,1014,2384464,35vSZ,V1,debreif_intro
103,fullscreenenter,0,3585,hdEFQ,V1,full_screen
104,fullscreenenter,0,20815,XXIcI,V1,full_screen
105,blur,155,1294603,XXIcI,V1,deliberation
106,focus,155,1302897,XXIcI,V1,deliberation
107,fullscreenexit,648,2234759,XXIcI,V1,final_decisions
108,blur,704,2296921,XXIcI,V1,final_decisions
109,focus,704,2346579,XXIcI,V1,final_decisions
110,blur,704,2348094,XXIcI,V1,final_decisions
111,focus,704,2422790,XXIcI,V1,final_decisions
112,blur,704,2424849,XXIcI,V1,final_decisions
113,focus,704,2455669,XXIcI,V1,final_decisions
114,blur,1032,2991686,XXIcI,V1,debreif_intro
115,focus,1032,3005162,XXIcI,V1,debreif_intro
116,blur,1033,3017972,XXIcI,V1,
117,blur,0,0,06o3b,V1,full_screen
118,focus,0,0,06o3b,V1,full_screen
119,fullscreenenter,0,21989,06o3b,V1,full_screen
120,fullscreenenter,0,8574,6dDMA,V1,full_screen
121,focus,0,9301,xzJUc,V1,full_screen
122,fullscreenenter,0,9422,xzJUc,V1,full_screen
123,blur,1028,1927618,xzJUc,V1,debreif_intro
124,focus,1028,1936526,xzJUc,V1,debreif_intro
125,blur,1028,1944268,xzJUc,V1,debreif_intro
126,focus,1028,1961054,xzJUc,V1,debreif_intro
129,fullscreenenter,0,1670,K6miT,V1,full_screen
130,blur,147,496594,K6miT,V1,deliberation
131,focus,147,496596,K6miT,V1,deliberation
132,blur,156,518177,K6miT,V1,deliberation
133,focus,156,518178,K6miT,V1,deliberation
134,blur,212,597029,K6miT,V1,interference
135,focus,212,597029,K6miT,V1,interference
136,blur,1062,1479810,K6miT,V1,debreif_intro
137,focus,1062,1493827,K6miT,V1,debreif_intro
138,blur,1065,1600519,K6miT,V1,debreif_intro
139,focus,1065,1615980,K6miT,V1,debreif_intro
140,blur,1069,1644176,K6miT,V1,debreif_intro
141,focus,1069,1669587,K6miT,V1,debreif_intro
142,fullscreenenter,0,7685,LUNSq,V1,full_screen
143,blur,0,0,G5sC6,V1,full_screen
144,focus,0,0,G5sC6,V1,full_screen
145,fullscreenenter,0,15216,G5sC6,V1,full_screen
146,blur,0,0,BwRKr,V1,full_screen
147,focus,0,0,BwRKr,V1,full_screen
148,blur,0,0,BwRKr,V1,full_screen
149,focus,0,0,BwRKr,V1,full_screen
150,blur,0,0,BwRKr,V1,full_screen
151,focus,0,0,BwRKr,V1,full_screen
152,blur,0,0,BwRKr,V1,full_screen
153,focus,0,73977,BwRKr,V1,full_screen
154,blur,0,84848,BwRKr,V1,full_screen
155,focus,0,86604,BwRKr,V1,full_screen
156,fullscreenenter,0,87609,BwRKr,V1,full_screen
157,blur,0,0,WUN51,V1,full_screen
158,focus,0,0,WUN51,V1,full_screen
159,fullscreenenter,0,9919,WUN51,V1,full_screen
160,fullscreenexit,3,25231,WUN51,V1,rating
161,blur,64,146657,WUN51,V1,deliberation
162,focus,64,148878,WUN51,V1,deliberation
163,blur,64,149225,WUN51,V1,deliberation
164,focus,64,153763,WUN51,V1,deliberation
165,blur,64,158320,WUN51,V1,deliberation
166,focus,64,160241,WUN51,V1,deliberation
167,blur,64,761784,WUN51,V1,deliberation
168,focus,64,950611,WUN51,V1,deliberation
169,blur,64,960113,WUN51,V1,deliberation
170,focus,64,962088,WUN51,V1,deliberation
171,blur,64,963119,WUN51,V1,deliberation
172,focus,64,963796,WUN51,V1,deliberation
173,blur,64,971029,WUN51,V1,deliberation
174,focus,64,972148,WUN51,V1,deliberation
175,blur,64,972344,WUN51,V1,deliberation
176,focus,64,975959,WUN51,V1,deliberation
177,blur,64,982672,WUN51,V1,deliberation
178,focus,64,995620,WUN51,V1,deliberation
179,blur,74,1029366,WUN51,V1,deliberation
180,focus,74,1030823,WUN51,V1,deliberation
181,blur,136,1159285,WUN51,V1,deliberation
182,focus,137,1163420,WUN51,V1,deliberation
183,blur,259,1373506,WUN51,V1,reward_learning
184,focus,259,1374575,WUN51,V1,reward_learning
185,blur,259,1374859,WUN51,V1,reward_learning
186,focus,259,1376662,WUN51,V1,reward_learning
187,blur,259,1377546,WUN51,V1,reward_learning
188,focus,259,1379382,WUN51,V1,reward_learning
189,blur,259,1387811,WUN51,V1,reward_learning
190,focus,259,1388740,WUN51,V1,reward_learning
191,blur,260,1407277,WUN51,V1,reward_learning
192,focus,260,1409718,WUN51,V1,reward_learning
193,blur,919,2044560,WUN51,V1,memory_test
194,focus,919,2046803,WUN51,V1,memory_test
195,blur,919,2047175,WUN51,V1,memory_test
196,focus,919,2048327,WUN51,V1,memory_test
197,blur,920,2541798,WUN51,V1,memory_test
198,focus,920,2542723,WUN51,V1,memory_test
199,blur,920,2543015,WUN51,V1,memory_test
200,focus,920,2548851,WUN51,V1,memory_test
201,blur,920,2552837,WUN51,V1,memory_test
202,focus,920,2554021,WUN51,V1,memory_test
203,blur,920,2555087,WUN51,V1,memory_test
204,focus,920,2560534,WUN51,V1,memory_test
205,blur,920,2561065,WUN51,V1,memory_test
206,focus,920,2576892,WUN51,V1,memory_test
207,blur,1041,2761400,WUN51,V1,debreif_intro
208,focus,1041,2763959,WUN51,V1,debreif_intro
209,blur,1042,2774831,WUN51,V1,
210,focus,1042,2775785,WUN51,V1,
211,fullscreenenter,0,5809,6IPcq,V1,full_screen
212,blur,337,944351,6IPcq,V1,reward_learning
213,focus,337,945725,6IPcq,V1,reward_learning
214,fullscreenexit,1042,1707328,6IPcq,V1,
215,blur,0,0,Pz1lX,V1,full_screen
216,focus,0,0,Pz1lX,V1,full_screen
217,blur,0,0,Pz1lX,V1,full_screen
218,focus,0,0,Pz1lX,V1,full_screen
219,blur,0,0,Pz1lX,V1,full_screen
220,focus,0,0,Pz1lX,V1,full_screen
221,blur,0,0,Pz1lX,V1,full_screen
222,focus,0,0,Pz1lX,V1,full_screen
223,blur,0,0,Pz1lX,V1,full_screen
224,focus,0,2826,Pz1lX,V1,full_screen
225,fullscreenenter,0,3027,Pz1lX,V1,full_screen
226,fullscreenexit,1055,2353596,Pz1lX,V1,debreif_intro
227,blur,1055,2358078,Pz1lX,V1,debreif_intro
228,focus,1055,2366301,Pz1lX,V1,debreif_intro
229,blur,1055,2370385,Pz1lX,V1,debreif_intro
230,focus,1055,2375072,Pz1lX,V1,debreif_intro
231,fullscreenenter,0,7085,vdu8d,V1,full_screen
232,fullscreenenter,0,9445,em9Pq,V1,full_screen
233,blur,114,1727050,em9Pq,V1,deliberation
234,focus,114,1756523,em9Pq,V1,deliberation
235,blur,0,0,JRaRD,V1,full_screen
236,focus,0,54328,JRaRD,V1,full_screen
237,blur,0,55047,JRaRD,V1,full_screen
238,focus,0,495568,JRaRD,V1,full_screen
239,blur,0,507166,JRaRD,V1,full_screen
240,focus,0,522988,JRaRD,V1,full_screen
241,blur,0,522988,JRaRD,V1,full_screen
242,focus,0,540150,JRaRD,V1,full_screen
243,fullscreenenter,0,541264,JRaRD,V1,full_screen
244,blur,59,734807,JRaRD,V1,rating
245,focus,59,737547,JRaRD,V1,rating
246,blur,61,742646,JRaRD,V1,rating
247,focus,61,744792,JRaRD,V1,rating
248,blur,88,1200920,JRaRD,V1,deliberation
249,focus,88,1202134,JRaRD,V1,deliberation
250,blur,479,3409536,JRaRD,V1,final_decisions
251,focus,479,3417054,JRaRD,V1,final_decisions
252,blur,1023,4079999,JRaRD,V1,debreif_intro
253,focus,1023,4092391,JRaRD,V1,debreif_intro
254,fullscreenenter,0,8342,r47C7,V1,full_screen
255,fullscreenenter,0,9383,ghIom,V1,full_screen
256,focus,0,0,UU8Iv,V1,full_screen
257,blur,0,0,UU8Iv,V1,full_screen
258,focus,0,76232,UU8Iv,V1,full_screen
259,fullscreenenter,0,76338,UU8Iv,V1,full_screen
260,blur,5,92506,UU8Iv,V1,rating
261,focus,5,121623,UU8Iv,V1,rating
262,blur,7,126316,UU8Iv,V1,rating
263,focus,7,130598,UU8Iv,V1,rating
264,blur,8,132532,UU8Iv,V1,rating
265,focus,8,402102,UU8Iv,V1,rating
266,blur,9,403811,UU8Iv,V1,rating
267,focus,9,487684,UU8Iv,V1,rating
268,blur,10,490230,UU8Iv,V1,rating
269,focus,10,496470,UU8Iv,V1,rating
270,blur,10,497846,UU8Iv,V1,rating
271,focus,10,499780,UU8Iv,V1,rating
272,blur,11,502476,UU8Iv,V1,rating
273,focus,11,534115,UU8Iv,V1,rating
274,blur,13,538125,UU8Iv,V1,rating
275,focus,13,550872,UU8Iv,V1,rating
276,blur,18,562999,UU8Iv,V1,rating
277,focus,18,566150,UU8Iv,V1,rating
278,blur,25,599735,UU8Iv,V1,rating
279,focus,25,602832,UU8Iv,V1,rating
280,blur,32,639500,UU8Iv,V1,rating
281,focus,32,649601,UU8Iv,V1,rating
282,blur,39,668444,UU8Iv,V1,rating
283,focus,39,687304,UU8Iv,V1,rating
284,blur,41,693207,UU8Iv,V1,rating
285,focus,41,706331,UU8Iv,V1,rating
286,blur,46,724520,UU8Iv,V1,rating
287,focus,46,728983,UU8Iv,V1,rating
288,blur,48,738315,UU8Iv,V1,rating
289,focus,48,774939,UU8Iv,V1,rating
290,blur,53,792760,UU8Iv,V1,rating
291,focus,53,804112,UU8Iv,V1,rating
292,blur,57,811978,UU8Iv,V1,rating
293,focus,57,844783,UU8Iv,V1,rating
294,blur,61,854915,UU8Iv,V1,rating
295,focus,61,876300,UU8Iv,V1,rating
296,blur,64,891195,UU8Iv,V1,deliberation
297,focus,64,902373,UU8Iv,V1,deliberation
298,blur,65,916418,UU8Iv,V1,deliberation
299,focus,65,925427,UU8Iv,V1,deliberation
300,blur,67,943735,UU8Iv,V1,deliberation
301,focus,67,977715,UU8Iv,V1,deliberation
302,blur,83,1008213,UU8Iv,V1,deliberation
303,focus,83,1009352,UU8Iv,V1,deliberation
304,blur,90,1027575,UU8Iv,V1,deliberation
305,focus,90,1035128,UU8Iv,V1,deliberation
306,blur,94,1045841,UU8Iv,V1,deliberation
307,focus,94,1047566,UU8Iv,V1,deliberation
308,blur,98,1061619,UU8Iv,V1,deliberation
309,focus,98,1072655,UU8Iv,V1,deliberation
310,blur,103,1091131,UU8Iv,V1,deliberation
311,focus,104,1101599,UU8Iv,V1,deliberation
312,blur,116,1130469,UU8Iv,V1,deliberation
313,focus,116,1172615,UU8Iv,V1,deliberation
314,blur,145,1226935,UU8Iv,V1,deliberation
315,focus,145,1228728,UU8Iv,V1,deliberation
316,blur,147,1231767,UU8Iv,V1,deliberation
317,focus,147,1232986,UU8Iv,V1,deliberation
318,blur,147,1235951,UU8Iv,V1,deliberation
319,focus,147,1248037,UU8Iv,V1,deliberation
320,blur,159,1275736,UU8Iv,V1,deliberation
321,focus,159,1316529,UU8Iv,V1,deliberation
322,blur,206,1380727,UU8Iv,V1,interference
323,focus,206,1441005,UU8Iv,V1,interference
324,blur,433,1727242,UU8Iv,V1,reward_learning
325,focus,433,1727376,UU8Iv,V1,reward_learning
326,blur,435,1730278,UU8Iv,V1,reward_learning
327,focus,437,1732501,UU8Iv,V1,reward_learning
328,blur,446,1742573,UU8Iv,V1,reward_learning
329,focus,446,1743516,UU8Iv,V1,reward_learning
330,blur,448,1745984,UU8Iv,V1,reward_learning
331,focus,448,1746556,UU8Iv,V1,reward_learning
332,blur,814,2088105,UU8Iv,V1,final_decisions
333,focus,814,2088917,UU8Iv,V1,final_decisions
334,blur,814,2090380,UU8Iv,V1,final_decisions
335,focus,814,2121300,UU8Iv,V1,final_decisions
336,blur,981,2238305,UU8Iv,V1,memory_test
337,focus,981,2268754,UU8Iv,V1,memory_test
338,blur,1046,2349565,UU8Iv,V1,
339,focus,1046,2350268,UU8Iv,V1,
340,blur,0,0,uNBH0,V1,full_screen
341,focus,0,950,uNBH0,V1,full_screen
342,fullscreenenter,0,4649,uNBH0,V1,full_screen
343,fullscreenexit,1,7344,uNBH0,V1,rating
344,blur,1,10794,uNBH0,V1,rating
345,focus,1,15996,uNBH0,V1,rating
346,blur,64,197999,uNBH0,V1,deliberation
347,focus,64,201197,uNBH0,V1,deliberation
348,blur,190,436826,uNBH0,V1,interference
349,focus,190,448348,uNBH0,V1,interference
350,blur,808,1137092,uNBH0,V1,final_decisions
351,focus,808,1162514,uNBH0,V1,final_decisions
352,blur,1052,1427947,uNBH0,V1,debreif_intro
353,focus,1052,1440327,uNBH0,V1,debreif_intro
354,focus,0,0,Ql1sb,V1,full_screen
355,blur,0,15328,Ql1sb,V1,full_screen
356,focus,0,17237,Ql1sb,V1,full_screen
357,fullscreenexit,0,20638,Ql1sb,V1,full_screen
358,fullscreenexit,1019,2027714,Ql1sb,V1,debreif_intro
359,blur,1019,2032200,Ql1sb,V1,debreif_intro
360,focus,1019,2033075,Ql1sb,V1,debreif_intro
361,blur,1019,2034306,Ql1sb,V1,debreif_intro
362,focus,1019,2042375,Ql1sb,V1,debreif_intro
363,fullscreenenter,0,8981,6IT9m,V1,full_screen
364,blur,0,99182,aFaSz,V1,full_screen
365,focus,0,100363,aFaSz,V1,full_screen
366,fullscreenenter,0,105703,aFaSz,V1,full_screen
367,blur,34,310728,aFaSz,V1,rating
368,focus,34,316740,aFaSz,V1,rating
369,blur,39,336698,aFaSz,V1,rating
370,focus,39,338856,aFaSz,V1,rating
371,blur,48,372908,aFaSz,V1,rating
372,focus,48,374751,aFaSz,V1,rating
373,blur,49,378081,aFaSz,V1,rating
374,focus,49,385443,aFaSz,V1,rating
375,blur,50,387892,aFaSz,V1,rating
376,focus,50,388069,aFaSz,V1,rating
377,blur,407,1137591,aFaSz,V1,reward_learning
378,focus,407,1156390,aFaSz,V1,reward_learning
379,blur,701,1558150,aFaSz,V1,final_decisions
380,focus,701,1578153,aFaSz,V1,final_decisions
381,blur,919,1997568,aFaSz,V1,memory_test
382,focus,919,2007752,aFaSz,V1,memory_test
383,fullscreenexit,1033,2236343,aFaSz,V1,debreif_intro
384,blur,1033,2239990,aFaSz,V1,debreif_intro
385,focus,1033,2242501,aFaSz,V1,debreif_intro
386,blur,1033,2249092,aFaSz,V1,debreif_intro
387,focus,1033,2254701,aFaSz,V1,debreif_intro
388,fullscreenenter,0,4734,FoGen,V1,full_screen
389,blur,0,9231,PeMBY,V1,full_screen
390,focus,0,12318,PeMBY,V1,full_screen
391,fullscreenenter,0,14176,PeMBY,V1,full_screen
392,fullscreenenter,0,115406,8Lifh,V1,full_screen
393,fullscreenexit,24,972044,8Lifh,V1,rating
394,blur,64,1740131,8Lifh,V1,deliberation
395,focus,64,1747913,8Lifh,V1,deliberation
396,blur,137,2132795,8Lifh,V1,deliberation
397,focus,147,2180886,8Lifh,V1,deliberation
398,blur,153,2196979,8Lifh,V1,deliberation
399,focus,154,2202631,8Lifh,V1,deliberation
400,blur,162,2335448,8Lifh,V1,deliberation
401,focus,172,2392218,8Lifh,V1,deliberation
402,blur,263,2635925,8Lifh,V1,interference
403,focus,263,2671859,8Lifh,V1,interference
404,blur,263,2673169,8Lifh,V1,interference
405,focus,263,3488892,8Lifh,V1,interference
406,blur,513,3910198,8Lifh,V1,final_decisions
407,focus,513,3912898,8Lifh,V1,final_decisions
408,blur,1059,4396958,8Lifh,V1,debreif_intro
409,focus,1059,4398571,8Lifh,V1,debreif_intro
410,blur,1062,4425990,8Lifh,V1,debreif_intro
411,focus,1062,4433501,8Lifh,V1,debreif_intro
412,blur,1063,4439125,8Lifh,V1,
413,blur,0,0,OZSVZ,V1,full_screen
414,focus,0,1803,OZSVZ,V1,full_screen
415,fullscreenenter,0,9019,OZSVZ,V1,full_screen
416,blur,1038,1655684,OZSVZ,V1,debreif_intro
417,focus,1038,1658725,OZSVZ,V1,debreif_intro
418,fullscreenenter,0,14308,NaeEP,V1,full_screen
419,focus,0,0,qnqjP,V1,full_screen
420,fullscreenexit,0,6572,qnqjP,V1,full_screen
421,blur,85,287127,qnqjP,V1,deliberation
422,focus,85,323714,qnqjP,V1,deliberation
423,fullscreenenter,0,8292,VRvOM,V1,full_screen
424,blur,0,0,JXh5i,V1,full_screen
